name,known_for_department,popularity
Eric Larson,Visual Effects,47.978
Robert Middlemass,Acting,47.8017
María Vaner,Acting,47.2016
Carl Wharton,Acting,36.3365
Victor Moore,Acting,35.9181
Sydney Sweeney,Acting,32.9698
Omar Chaparro,Acting,32.5659
Julanne Johnston,Acting,31.6448
Edward Grover,Acting,30.3934
Hannah Cheramy,Acting,29.2875
Daniella Wang,Acting,27.7832
Linda Kerridge,Acting,25.4428
Louis Wolheim,Acting,22.909
Anne Hathaway,Acting,22.4501
Robert Reich,Acting,21.7553
Nadia Farès,Acting,21.5011
Meelis Rämmeld,Acting,21.4186
Sonny Bupp,Acting,21.1096
Charlize Theron,Acting,21.0443
Meenakshi Dinesh,Acting,20.9081
Jackie Chan,Acting,19.2269
Valorie Curry,Acting,18.36
Lily-Rose Watier,Acting,12.5535
Yoon Yool,Acting,18.7482
Simon Yuen Siu-Tien,Acting,18.9529
Patrick Muldoon,Acting,13.5943
Megan Fox,Acting,17.0233
Tom Cruise,Acting,15.8843
Elle Fanning,Acting,16.534
Sharon Stone,Acting,12.371
Scarlett Johansson,Acting,15.0645
Luis Brandoni,Acting,12.1969
Jason Statham,Acting,14.2028
Mila Kunis,Acting,14.1346
Ji Chang-wook,Acting,14.0532
Florence Pugh,Acting,13.4987
Donatella Damiani,Acting,10.6064
KeiLyn Durrel Jones,Acting,13.79
Taron Egerton,Acting,13.9268
Hitoe Ootake,Acting,16.6854
Tom Hanks,Acting,12.4598
Alexandra Daddario,Acting,13.0447
Tian Xiwei,Acting,12.7952
Henry Cavill,Acting,12.5158
Jake Gyllenhaal,Acting,10.8907
Keanu Reeves,Acting,12.3601
Ashley Lopez,Acting,11.8555
Morena Baccarin,Acting,11.7005
Trevor Dion Nicholas,Acting,11.5851
Jodie Foster,Acting,11.5684
Anya Taylor-Joy,Acting,11.5499
Caleb Allred,Acting,11.4499
Angelina Jolie,Acting,11.2495
Miguel Ríos,Acting,11.1723
Shu Qi,Acting,11.1687
Robby Benson,Acting,11.0792
Tom Hardy,Acting,10.9967
Morgan Freeman,Acting,10.4785
Matt Damon,Acting,10.9559
Cailee Spaeny,Acting,10.8671
Ryan Gosling,Acting,9.8176
Ana de Armas,Acting,10.6607
Monica Bellucci,Acting,9.4647
Joe Anoa'i,Acting,10.4944
Choi Hyun-wook,Acting,10.8331
Minami Hamabe,Acting,10.1072
Jenna Ortega,Acting,9.6513
Humberto Zurita,Acting,8.1169
Jacob Elordi,Acting,9.9
Karl Urban,Acting,8.1251
Jaafar Jackson,Acting,10.2629
Brad Pitt,Acting,9.2645
Erin Moriarty,Acting,9.1638
Leonardo DiCaprio,Acting,8.4181
Zhang Linghe,Acting,8.9841
Chris Hemsworth,Acting,8.4445
Vin Diesel,Acting,9.528
Christine Bermas,Acting,9.0029
Ess Hödlmoser,Acting,7.7882
Salman Khan,Acting,7.8496
Ryan Gosling,Acting,9.8176
Jenna Ortega,Acting,9.6513
Catalina Sandino Moreno,Acting,9.5684
Vin Diesel,Acting,9.528
Monica Bellucci,Acting,9.4647
Miguel Ríos,Acting,9.4373
Adolfo Aristarain,Directing,9.3881
Julie Anne Robinson,Directing,9.3199
Minami Hamabe,Acting,9.3175
Brad Pitt,Acting,9.2645
Joe Anoa'i,Acting,9.2349
Erin Moriarty,Acting,9.1638
Hunter Schafer,Acting,9.0583
Christine Bermas,Acting,9.0029
Margot Robbie,Acting,8.9872
Zhang Linghe,Acting,8.9841
Nelia Da Costa,Acting,8.9492
Jensen Ackles,Acting,8.8942
Jim Carrey,Acting,8.8055
Clint Eastwood,Acting,8.8003
Daveed Diggs,Acting,8.1901
Keiko Kitagawa,Acting,7.9586
Jude Law,Acting,7.264
Akshay Kumar,Acting,8.0835
Jennifer Connelly,Acting,8.5953
Kim Na-mi,Acting,9.9
Michele Morrone,Acting,8.4688
Mayte Rodríguez,Acting,6.1246
Emily Blunt,Acting,8.5329
Emma Elle Paterson,Acting,7.9329
Emma Roberts,Acting,8.2454
Jack Black,Acting,7.295
Margot Robbie,Acting,8.9872
Pierce Brosnan,Acting,13.402
Truman Hanks,Acting,10.5068
Sandra Bullock,Acting,7.5468
Pedro Pascal,Acting,7.8551
Stephanie Cayo,Acting,6.9656
Zhao Lusi,Acting,7.0533
Mel Gibson,Acting,7.5322
Song Weilong,Acting,7.162
Johnny Depp,Acting,7.3129
Aline Mineiro,Acting,6.7985
Odeya Rush,Acting,7.3907
Noah Fearnley,Acting,7.2928
Go Youn-jung,Acting,8.0815
Colman Domingo,Acting,8.4923
Daniel Radcliffe,Acting,6.9127
Dakota Johnson,Acting,7.6247
Cecilia Cheung,Acting,8.3425
Kei Fubuki,Acting,5.4134
Hunter Schafer,Acting,9.0583
Shad Moss,Acting,7.8862
İbrahim Çelikkol,Acting,7.1544
Halle Berry,Acting,6.9723
Sylvester Stallone,Acting,7.9799
Zendaya,Acting,7.6551
Ai Kayano,Acting,6.5588
Luis Tosar,Acting,5.1271
Maisie Williams,Acting,7.0657
Nicolas Cage,Acting,7.2126
Timothée Chalamet,Acting,6.3248
Tony Leung Chiu-wai,Acting,7.7462
Garry Pankhurst,Acting,5.1032
Yda Manzano,Acting,8.2051
Antony Starr,Acting,6.7224
Kate Hudson,Acting,7.3114
Drew Barrymore,Acting,7.0177
Raghava Lawrence,Acting,6.3544
Jeremy Strong,Acting,6.5079
Joaquin Phoenix,Acting,4.9592
Adam Sandler,Acting,6.511
Mckenna Grace,Acting,7.2991
Jamie Lee Curtis,Acting,7.2673
Kirsten Dunst,Acting,7.1837
Emin Günenç,Acting,6.6162
Giulio Berruti,Acting,7.1184
Milla Jovovich,Acting,6.3246
David Corenswet,Acting,5.8221
Demi Moore,Acting,6.274
Dwayne Johnson,Acting,7.1385
Giulio Berruti,Acting,7.1184
Kim Do-hee,Acting,7.0952
Maisie Williams,Acting,7.0657
Zhao Lusi,Acting,7.0533
Drew Barrymore,Acting,7.0177
Halle Berry,Acting,6.9723
Stephanie Cayo,Acting,6.9656
Alejandro Trejo,Acting,6.9428
Fabrizio Guido,Acting,6.9158
Daniel Radcliffe,Acting,6.9127
Verónica Castro,Acting,6.8839
Zeynep Atılgan,Acting,6.8812
Kaley Cuoco,Acting,6.8744
Robert De Niro,Acting,6.8639
Samuel L. Jackson,Acting,6.8469
Stuart Campbell,Acting,6.8316
Sophie Rundle,Acting,6.8061
Aline Mineiro,Acting,6.7985
Jaime Pressly,Acting,6.7599
Yu Aoi,Acting,6.1615
Sadie Sink,Acting,6.6839
Tom Holland,Acting,6.5164
Will Smith,Acting,5.671
Michael Douglas,Acting,6.2893
Jurnee Smollett,Acting,5.9544
Ali Larter,Acting,6.3307
Cillian Murphy,Acting,6.2478
Darshana Rajendran,Acting,6.3976
Jet Li,Acting,6.6963
Mirtha Legrand,Acting,5.643
Kaley Cuoco,Acting,6.8744
Martha Roth,Acting,3.5248
Suppakarn Jirachotikul,Acting,6.0875
Chris Pratt,Acting,6.2026
Daniel Tinayre,Directing,4.2787
Claudia Doumit,Acting,6.0316
Robert Downey Jr.,Acting,6.5689
Stuart Campbell,Acting,6.8316
Jamie Lee Curtis,Acting,7.2673
Channing Tatum,Acting,6.1488
Dwayne Johnson,Acting,7.1385
Eva De Dominici,Acting,5.9575
Gabriel Guevara,Acting,5.5267
Adolfo Aristarain,Directing,9.3881
Eiza González,Acting,6.7029
Chris Evans,Acting,6.297
Robert De Niro,Acting,6.8639
Maruthi Dasari,Directing,5.8985
Tyriq Withers,Acting,5.7551
Madelyn Cline,Acting,6.1753
Cemre Baysel,Acting,6.337
Diane Lane,Acting,5.5264
Adan Canto,Acting,5.6991
Fabrizio Guido,Acting,6.9158
Ethan Hawke,Acting,5.8673
Joey King,Acting,6.0608
Harold Perrineau,Acting,6.1294
Jenn Rosa,Acting,6.4151
David Harbour,Acting,5.7451
Seol In-a,Acting,6.2439
Samantha Brown,Acting,6.2339
Ushasi Ray,Acting,6.2281
Alessandro Genovesi,Directing,6.2275
Miles Teller,Acting,6.2101
Chris Pratt,Acting,6.2026
Madelyn Cline,Acting,6.1753
Kate Winslet,Acting,6.1667
Yu Aoi,Acting,6.1615
Channing Tatum,Acting,6.1488
Chen Zheyuan,Acting,6.1354
Nina van Pallandt,Acting,6.1347
Harold Perrineau,Acting,6.1294
Kim Woo-bin,Acting,5.5737
Afra Saraçoğlu,Acting,6.0202
Jennifer Lawrence,Acting,6.1177
Kevin Costner,Acting,6.1139
Pedro Infante,Acting,6.0898
Suppakarn Jirachotikul,Acting,6.0875
Emma Watson,Acting,6.0833
Jason Momoa,Acting,5.9264
Erdem Şanlı,Acting,6.4423
Asa Butterfield,Acting,6.0372
Chen Zheyuan,Acting,6.1354
Bryan Cranston,Acting,5.3287
Andy Serkis,Acting,5.3886
Judi Dench,Acting,5.8947
Kim Ji-ah,Acting,6.0755
Kim Woo-bin,Acting,5.5737
Tao Tsuchiya,Acting,5.3374
Afra Saraçoğlu,Acting,6.0202
Jeffrey Dean Morgan,Acting,5.6795
Jaime Pressly,Acting,6.7599
Linda Cardellini,Acting,5.6237
Angelica Hart,Acting,5.7887
Emilia Clarke,Acting,5.8136
Benjamin Bratt,Acting,5.0516
Lauren Cohan,Acting,5.4835
Kevin Costner,Acting,6.1139
Tinto Brass,Directing,6.081
Sam Claflin,Acting,5.9118
Ha Yoon-kyung,Acting,5.911
Hande Erçel,Acting,5.9104
Maruthi Dasari,Directing,5.8985
Judi Dench,Acting,5.8947
Josh Brolin,Acting,5.8772
Ethan Hawke,Acting,5.8673
Jamie McGuire,Acting,5.8601
Han Seo-ah,Acting,5.8501
Tetsuya Takeuchi,Visual Effects,5.8338
Margaret Qualley,Acting,5.8334
David Corenswet,Acting,5.8221
Simon Webster,Acting,5.8208
Emilia Clarke,Acting,5.8136
Angelica Hart,Acting,5.7887
Michael B. Jordan,Acting,5.7862
Giancarlo Esposito,Acting,5.7781
Annabelle Wallis,Acting,5.7768
Brigitte Nielsen,Acting,5.7753
Shinobu Terajima,Acting,5.7708
Zoe Saldaña,Acting,5.6803
Kasumi Arimura,Acting,5.8768
Karen Fukuhara,Acting,5.8514
Cameron Diaz,Acting,5.189
Jack Nicholson,Acting,5.6205
Shawn Hatosy,Acting,5.3364
Kate Winslet,Acting,6.1667
Diana Bracho,Acting,5.8238
Kristen Stewart,Acting,5.1285
Verónica Lozano,Acting,5.6002
Sebastian Klussmann,Acting,4.9294
Annabelle Wallis,Acting,5.7768
Kristy McNichol,Acting,4.1177
Robin Tunney,Acting,5.1655
Mio Imada,Acting,5.8019
Joo Ye-bin,Acting,6.0071
Jennifer Lawrence,Acting,6.1177
William Daniels,Acting,4.8165
Ushasi Ray,Acting,6.2281
John Cena,Acting,5.0387
Aaron Taylor-Johnson,Acting,5.3335
Cate Blanchett,Acting,4.8432
Sam Elliott,Acting,5.0495
Emma Thompson,Acting,5.5448
Seol In-a,Acting,6.2439
Nathan Fillion,Acting,5.2954
Elizabeth Banks,Acting,5.5707
Simon Baker,Acting,4.942
Zhu Zhu,Acting,5.6521
John Travolta,Acting,4.8901
Emma Myers,Acting,5.5003
Will Smith,Acting,5.671
Cole Hauser,Acting,4.9701
Sam Claflin,Acting,5.9118
Theo James,Acting,5.5502
Meryl Streep,Acting,5.6279
Aidan Gillen,Acting,5.2978
Elisha Cuthbert,Acting,5.2011
Jon Bernthal,Acting,5.3597
Luz Jiménez,Acting,5.1365
Luz Jiménez,Acting,5.6253
Baek Se-ri,Acting,5.6116
Woo Yeol,Acting,5.5974
Hailee Steinfeld,Acting,5.5971
Coco Legrand,Acting,5.5919
Paola Nuñez,Acting,5.5686
Kate Beckinsale,Acting,5.5626
Jessica Alba,Acting,5.5488
John Krasinski,Acting,5.5391
Woo Do-hwan,Acting,5.5379
Jennifer Aniston,Acting,5.5336
Jin Joo,Acting,5.5237
Arnold Schwarzenegger,Acting,5.5144
Kevin Bacon,Acting,5.5049
David Wilcock,Acting,5.4912
Keegan-Michael Key,Acting,5.4876
Jessie Buckley,Acting,5.4817
Sacha Baron Cohen,Acting,5.4781
Christopher Nolan,Directing,5.4656
Josh Hutcherson,Acting,5.4654
Tom Selleck,Acting,4.6158
Ahn So-hee,Acting,5.4258
Rebecca Ferguson,Acting,4.9401
Deko Akao,Writing,4.1207
Natalie Portman,Acting,4.9316
Matilda De Angelis,Acting,5.1342
Idris Elba,Acting,5.1787
Wei Xiao,Acting,5.0919
Divine Villareal,Acting,5.0635
Rosamund Pike,Acting,5.4344
Maite Perroni,Acting,5.5072
Terrence Howard,Acting,4.5575
Eric Bana,Acting,5.4915
Tim Curry,Acting,5.6097
Elisabeth Shue,Acting,4.6136
Ella Purnell,Acting,5.4611
Chermarn Boonyasak,Acting,4.601
Jamie McGuire,Acting,5.8601
Subhashree Ganguly,Acting,5.2107
Beren Saat,Acting,5.2129
Kurt Russell,Acting,5.245
Romina Power,Acting,4.5103
Sarah Shahi,Acting,4.4935
Ozan Akbaba,Acting,5.236
Simon Webster,Acting,5.8208
John Cho,Acting,5.231
Park Ji-hoon,Acting,4.5191
Christopher Nolan,Directing,5.2178
Amy Adams,Acting,5.2163
Beren Saat,Acting,5.2129
Tae Hee,Acting,4.9317
Elisha Cuthbert,Acting,5.2011
Cameron Diaz,Acting,5.189
Idris Elba,Acting,5.1787
Teresa Blasco,Acting,1.8343
Han Yi-seul,Acting,4.9433
Robin Tunney,Acting,5.1655
Sophie Rundle,Acting,6.8061
Abhishek Bachchan,Acting,5.1622
Kim Go-eun,Acting,5.178
Romina Power,Acting,4.5103
Wang Yibo,Acting,4.8205
Sarah Shahi,Acting,4.4935
Shōji Sakai,Editing,5.1203
Simon Webster,Acting,5.8208
Park Ji-hoon,Acting,4.5191
Hu Jun,Acting,5.0385
Shantel VanSanten,Acting,5.0236
Marisa Tomei,Acting,4.5116
Jennifer Jason Leigh,Acting,4.9559
Tae Hee,Acting,4.9317
Quentin Tarantino,Directing,5.3534
Julianne Moore,Acting,4.5796
Teresa Blasco,Acting,1.8343
Han Yi-seul,Acting,4.9433
Matthew McConaughey,Acting,5.1146
Sophie Rundle,Acting,6.8061
Nicholas Hoult,Acting,4.4757
Christian Bale,Acting,4.5014
Keira Knightley,Acting,4.8901
Kim Go-eun,Acting,5.178
Robert Pattinson,Acting,5.0607
Abhishek Bachchan,Acting,5.1622
Natalie Dormer,Acting,4.6876
Jean Reno,Acting,4.5385
Eva Green,Acting,5.6932
Moemi Katayama,Acting,4.6792
Akio Otsuka,Acting,4.6207
Anna Faris,Acting,4.5988
Taylor Ortega,Acting,4.7319
Rachel McAdams,Acting,5.1327
Travis Fimmel,Acting,4.7299
Susan Shaw Yam-Yam,Acting,4.2249
Katie Holmes,Acting,4.6119
Lana Condor,Acting,3.9715
Adrien Brody,Acting,4.6906
Peyton List,Acting,4.969
Isabel May,Acting,4.9013
Samantha Brown,Acting,6.2339
Krisma Fajardo,Production,7.9121
Gillian Anderson,Acting,4.8
James Spader,Acting,4.547
Nia Long,Acting,4.9415
Trisha Krishnan,Acting,4.8899
Heather Locklear,Acting,4.0417
Barış Arduç,Acting,4.4801
Bridget Regan,Acting,4.8131
Do Hee,Acting,5.6788
Stellan Skarsgård,Acting,4.315
Jennifer Coolidge,Acting,4.9147
Melissa O'Neil,Acting,4.2577
Samara Weaving,Acting,4.6344
Jon Hamm,Acting,4.8927
Zoë Kravitz,Acting,7.9022
Scott Adkins,Acting,4.8004
Andy Day,Lighting,4.6303
Laz Alonso,Acting,4.8212
Taylor Dearden,Acting,3.4184
Sergio Sendel,Acting,3.7416
Ozan Akbaba,Acting,5.236
Bradley Cooper,Acting,4.8109
Lee Do-hyun,Acting,4.8068
Steven Spielberg,Directing,4.8058
Scott Adkins,Acting,4.8004
Gillian Anderson,Acting,4.8
Edward Norton,Acting,4.789
Gal Gadot,Acting,4.7738
Diana Bracho,Acting,4.7609
Ji Eun-seo,Acting,4.7484
Seth Rogen,Acting,4.7468
Andy Samberg,Acting,4.7403
Taylor Ortega,Acting,4.7319
Travis Fimmel,Acting,4.7299
Lee Majors,Acting,4.7283
Shiena Yu,Acting,4.5778
Joseph Gordon-Levitt,Acting,4.7126
Annette O'Toole,Acting,4.7124
Molly Windsor,Acting,4.7175
Bryant Wood,Acting,3.9714
Javier Solís,Acting,4.7039
Jami Gertz,Acting,4.5367
Amirah J,Acting,4.1767
Felipe Birriel,Acting,3.9448
Milly Alcock,Acting,6.2478
Kerem Bürsin,Acting,4.4667
Angeline Aril,Acting,4.1285
Elijah Wood,Acting,4.0299
Sofía Vergara,Acting,4.5199
Julia Doyle,Acting,4.2342
Lena Headey,Acting,4.846
Robin Nedwell,Acting,2.4871
Kwon Eun-bi,Acting,5.0708
Edward Norton,Acting,4.789
Sophie Marceau,Acting,4.2032
Shah Rukh Khan,Acting,4.5769
Hiroshi Abe,Acting,4.992
Jesse Plemons,Acting,4.4206
Ralph Fiennes,Acting,4.0018
Joseph Gordon-Levitt,Acting,4.7126
Satomi Ishihara,Acting,4.4697
Satomi Ishihara,Acting,4.7149
Shiena Yu,Acting,4.7138
Michelle Pfeiffer,Acting,4.6346
Ji Eun-seo,Acting,4.7087
Molly Windsor,Acting,4.7076
A.J. Simmons,Acting,4.7071
Bryant Wood,Acting,4.7069
Shannon Elizabeth,Acting,4.9074
Lizze Broadway,Acting,4.6951
Kate Mara,Acting,4.9642
Noah Centineo,Acting,4.4213
Aliya Raymundo,Acting,4.8243
Ben Kingsley,Acting,4.491
Tom Welling,Acting,4.3986
Daniela Melchior,Acting,4.6613
Chikako Aoyama,Acting,4.6442
Sabrina Carpenter,Acting,4.6436
Andy Lau,Acting,3.9695
John Cho,Acting,4.6377
Park Ha-yan,Acting,4.491
Takuya Kimura,Acting,4.3474
Aditya Dhar,Writing,4.3938
Elizabeth Olsen,Acting,3.821
Bill Skarsgård,Acting,4.6998
Bong Joon Ho,Directing,4.1538
Chloë Grace Moretz,Acting,4.2326
Winona Ryder,Acting,6.2593
Yoo Ji-hyun,Acting,4.1071
Hrithik Roshan,Acting,3.9586
Rain,Acting,4.5358
Lee Soo,Acting,4.3187
Ridley Scott,Directing,4.3844
Alessandro Genovesi,Directing,6.2275
Asena Keskinci,Acting,4.3827
Lee Do-hyun,Acting,4.8068
Claire Danes,Acting,3.8082
Hannah Einbinder,Acting,4.2126
Olivia Wilde,Acting,4.5552
Mariska Hargitay,Acting,3.9274
Zooey Deschanel,Acting,4.388
Satomi Ishihara,Acting,4.4697
Kerem Bürsin,Acting,4.4667
Sean Penn,Acting,4.4554
Skye Gonzaga,Acting,4.4434
Yuko Tanaka,Acting,4.4417
Chris Tucker,Acting,4.4382
Aston McAuley,Acting,4.4363
Samantha De Martin,Acting,4.4276
Chik King-Man,Acting,4.4233
Noah Centineo,Acting,4.4213
Jesse Plemons,Acting,4.4206
Sabrina Carpenter,Acting,4.4153
Reese Witherspoon,Acting,4.4063
Tom Welling,Acting,4.3986
Aditya Dhar,Writing,4.3938
Sean Astin,Acting,4.3885
Zooey Deschanel,Acting,4.388
Nathalie Emmanuel,Acting,4.3846
Ridley Scott,Directing,4.3844
Daniel Vegas,Acting,4.0745
Asena Keskinci,Acting,4.3827
Daisy Edgar-Jones,Acting,4.3804
Apple Dy,Acting,4.3761
Jon Favreau,Acting,4.3756
Hayao Miyazaki,Directing,4.3728
Radikaa Sarathkumar,Acting,4.3701
Mary Elizabeth Winstead,Acting,4.366
Deniz Can Aktaş,Acting,4.3616
Amandla Stenberg,Acting,4.3535
Rob Estes,Acting,4.3507
Takuya Kimura,Acting,4.3474
Taika Waititi,Directing,4.3386
