age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,distraction_score,addiction_level,productivity_score
21,5.95,2.81,2.61,7.3773246,290.25473,,7.852,Medium,29.587833
34,3.82,2.33,0.28,7.6126885,270.57108,93.65,7.146,Medium,17.320665
29,3.57,1.64,5.21,6.1432977,134.05421,100.0,2.962,Low,75.18398
25,10.27,4.37,4.28,4.012145,233.01984,94.71,8.791,Medium,31.133162
22,2.42,1.6,3.67,6.9532533,19.38179,100.0,0.669,Low,54.640675
35,6.19,2.19,7.26,4.0871773,218.46355,100.0,5.277,Medium,63.581493
21,3.68,1.23,1.34,7.4186764,314.39902,100.0,7.358,Low,31.44634
33,10.79,5.65,0.08,7.5477586,148.48206,,8.331,High,5.8094325
37,7.57,5.54,0.59,8.513275,107.276726,94.43,5.228,High,5.337566
25,,2.73,1.79,5.0000105,31.721588,100.0,2.038,Medium,44.341606
25,7.02,3.89,0.27,6.054331,188.0112,93.1,7.249,,-3.0273895
38,9.31,5.95,4.02,5.9015527,261.58713,88.88,8.729,High,22.166191
35,11.58,6.01,2.51,8.52939,81.53295,100.0,7.177,High,12.488402
18,4.2,3.62,1.44,6.198726,104.47856,100.0,3.708,Medium,5.4202156
22,10.86,3.62,6.0,4.6588326,32.150463,100.0,4.11,Medium,57.78246
38,11.34,7.98,1.64,6.9361005,79.57928,77.17,6.338,,2.322019
17,11.16,9.32,5.5,7.2340074,88.20891,99.17,5.81,High,22.157196
36,8.35,6.53,2.79,7.276602,93.362305,,5.738,High,1.5162625
35,8.3,3.41,4.09,7.7268333,150.38403,100.0,6.123,Medium,33.931744
16,6.03,2.88,7.47,5.190898,117.522285,100.0,3.014,Medium,64.9556
38,9.52,6.95,0.3,8.933781,145.10126,84.05,7.43,High,0.3233481
26,7.31,2.56,4.0,4.2901754,133.11742,100.0,5.015,Medium,52.654655
20,8.77,6.9,6.84,9.439569,70.1643,100.0,3.573,High,73.02449
16,6.28,4.59,4.7,8.426228,163.26703,,4.83,Medium,51.50481
,9.31,6.87,2.21,6.887839,238.16747,89.12,8.712,High,4.730281
15,10.24,3.69,3.18,7.7802286,173.90306,100.0,7.666,Medium,28.614273
26,3.46,2.53,5.44,4.1545978,11.413464,100.0,1.258,Medium,29.191988
36,10.33,7.31,7.13,3.6900911,40.22982,89.04,3.926,High,18.74682
26,7.4,5.91,0.33,4.7121186,74.912544,90.6,4.621,High,-2.707918
39,10.45,3.4,0.57,4.0632925,52.77299,92.02,6.354,Medium,12.922352
,6.31,1.98,2.6,6.8878975,168.25835,100.0,5.875,Low,17.041162
24,5.79,3.03,1.86,4.9509563,282.49933,99.09,7.597,Medium,21.134266
30,11.15,4.34,2.12,8.543189,73.700714,100.0,6.019,Medium,15.100943
29,4.51,2.86,1.77,6.1447988,302.78873,89.63,7.664,Medium,24.359571
29,10.44,8.88,1.57,8.31095,260.40427,76.18,9.969,High,-0.5485876
33,6.84,3.66,1.04,7.570753,255.0582,91.37,8.668,Medium,2.7334728
26,7.14,,7.47,6.240161,72.900536,100.0,2.629,High,62.14423
37,5.08,1.52,1.15,,249.80386,99.26,7.315,Low,24.973398
34,7.73,3.1,1.64,,29.223106,,3.913,Medium,9.213697
